snapshot,gas_boiler_punta_arenas_1,heat_pump_punta_arenas_1,gas_boiler_punta_arenas_2,heat_pump_punta_arenas_2,link_punta_arenas_1_to_punta_arenas_2,link_punta_arenas_2_to_punta_arenas_1,h2_electrolyzer_punta_arenas_2,h2_fuel_cell_punta_arenas_2,h2_turbine_punta_arenas_2,uhs_injection_punta_arenas_2,uhs_withdrawal_punta_arenas_2
2040-04-19 16:00:00,0.0,0.0,0.0,0.0,0.0,38.42568750027567,0.0,0.0,0.0,0.0,0.0
2040-04-19 17:00:00,0.0,0.0,0.0,0.0,0.0,37.507375000277534,0.0,0.0,0.0,0.0,0.0
2040-04-19 18:00:00,0.0,0.0,0.0,0.0,0.0,37.46318750025239,0.0,0.0,0.0,0.0,0.0
2040-04-19 19:00:00,0.0,0.0,0.0,0.0,0.0,40.90481250023004,0.0,0.0,0.0,0.0,0.0
2040-04-19 20:00:00,0.0,0.0,0.0,0.0,0.0,41.85187500028405,0.0,0.0,0.0,0.0,0.0
2040-04-19 21:00:00,0.0,0.0,0.0,0.0,0.0,40.12737500027288,0.0,0.0,0.0,0.0,0.0
2040-04-19 22:00:00,0.0,0.0,0.0,0.0,0.0,37.86843750020489,0.0,0.0,0.0,0.0,0.0
2040-04-19 23:00:00,0.0,0.0,0.0,0.0,0.0,35.51531250018161,0.0,0.0,0.0,0.0,0.0
2040-04-20 00:00:00,0.0,0.0,0.0,0.0,0.0,32.70743750024121,0.0,0.0,0.0,0.0,0.0
2040-04-20 01:00:00,0.0,0.0,0.0,0.0,0.0,29.36806250025984,0.0,0.0,0.0,0.0,0.0
2040-04-20 02:00:00,0.0,0.0,0.0,0.0,0.0,25.095437500276603,0.0,0.0,0.0,0.0,0.0
2040-04-20 03:00:00,0.0,0.0,0.0,0.0,0.0,23.16693750023842,0.0,0.0,0.0,0.0,0.0
2040-04-20 04:00:00,0.0,0.0,0.0,0.0,0.0,22.492125000222586,0.0,0.0,0.0,0.0,0.0
2040-04-20 05:00:00,0.0,0.0,0.0,0.0,0.0,21.951562500209548,0.0,0.0,0.0,0.0,0.0
2040-04-20 06:00:00,0.0,0.0,0.0,0.0,0.0,21.931125000235625,0.0,0.0,0.0,0.0,0.0
2040-04-20 07:00:00,0.0,0.0,0.0,0.0,0.0,23.122437500278465,0.0,0.0,0.0,0.0,0.0
2040-04-20 08:00:00,0.0,0.0,0.0,0.0,0.0,25.722937500220723,0.0,0.0,0.0,0.0,0.0
2040-04-20 09:00:00,0.0,0.0,0.0,0.0,0.0,29.61593750026077,0.0,0.0,0.0,0.0,0.0
2040-04-20 10:00:00,0.0,0.0,0.0,0.0,0.0,33.084187500178814,0.0,0.0,0.0,0.0,0.0
2040-04-20 11:00:00,0.0,0.0,0.0,0.0,0.0,35.62825000018347,0.0,0.0,0.0,0.0,0.0
2040-04-20 12:00:00,0.0,0.0,0.0,0.0,0.0,36.51118750020396,0.0,0.0,0.0,0.0,0.0
2040-04-20 13:00:00,0.0,0.0,0.0,0.0,0.0,36.318562500178814,0.0,0.0,0.0,0.0,0.0
2040-04-20 14:00:00,0.0,0.0,0.0,0.0,0.0,35.954562500235625,0.0,0.0,0.0,0.0,0.0
2040-04-20 15:00:00,0.0,0.0,0.0,0.0,0.0,35.344937500194646,0.0,0.0,0.0,0.0,0.0
2040-04-20 16:00:00,0.0,0.0,0.0,0.0,0.0,34.65962500020396,0.0,0.0,0.0,0.0,0.0
2040-04-20 17:00:00,0.0,0.0,0.0,0.0,0.0,34.43737500021234,0.0,0.0,0.0,0.0,0.0
2040-04-20 18:00:00,0.0,0.0,0.0,0.0,0.0,35.07581250020303,0.0,0.0,0.0,0.0,0.0
2040-04-20 19:00:00,0.0,0.0,0.0,0.0,0.0,39.403562500257976,0.0,0.0,0.0,0.0,0.0
2040-04-20 20:00:00,0.0,0.0,0.0,0.0,0.0,40.48525000025984,0.0,0.0,0.0,0.0,0.0
2040-04-20 21:00:00,0.0,0.0,0.0,0.0,0.0,39.36812500027008,0.0,0.0,0.0,0.0,0.0
2040-04-20 22:00:00,0.0,0.0,0.0,0.0,0.0,37.63143750024028,0.0,0.0,0.0,0.0,0.0
2040-04-20 23:00:00,0.0,0.0,0.0,0.0,0.0,35.028875000192784,0.0,0.0,0.0,0.0,0.0
2040-04-21 00:00:00,0.0,0.0,0.0,0.0,0.0,31.397562500205822,0.0,0.0,0.0,0.0,0.0
2040-04-21 01:00:00,0.0,0.0,0.0,0.0,0.0,27.864375000237487,0.0,0.0,0.0,0.0,0.0
2040-04-21 02:00:00,0.0,0.0,0.0,0.0,0.0,25.44668750022538,0.0,0.0,0.0,0.0,0.0
2040-04-21 03:00:00,0.0,0.0,0.0,0.0,0.0,23.731375000206754,0.0,0.0,0.0,0.0,0.0
2040-04-21 04:00:00,0.0,0.0,0.0,0.0,0.0,22.745750000234693,0.0,0.0,0.0,0.0,0.0
2040-04-21 05:00:00,0.0,0.0,0.0,0.0,0.0,22.488312500179745,0.0,0.0,0.0,0.0,0.0
2040-04-21 06:00:00,0.0,0.0,0.0,0.0,0.0,22.07106250023935,0.0,0.0,0.0,0.0,0.0
2040-04-21 07:00:00,0.0,0.0,0.0,0.0,0.0,22.381500000250526,0.0,0.0,0.0,0.0,0.0
2040-04-21 08:00:00,0.0,0.0,0.0,0.0,0.0,23.23068750021048,0.0,0.0,0.0,0.0,0.0
2040-04-21 09:00:00,0.0,0.0,0.0,0.0,0.0,23.602750000194646,0.0,0.0,0.0,0.0,0.0
2040-04-21 10:00:00,0.0,0.0,0.0,0.0,0.0,25.7833750002319,0.0,0.0,0.0,0.0,0.0
2040-04-21 11:00:00,0.0,0.0,0.0,0.0,0.0,28.343187500256736,0.0,0.0,0.0,0.0,0.0
2040-04-21 12:00:00,0.0,0.0,0.0,0.0,0.0,30.244625000283122,0.0,0.0,0.0,0.0,0.0
2040-04-21 13:00:00,0.0,0.0,0.0,0.0,0.0,31.620750000234693,0.0,0.0,0.0,0.0,0.0
2040-04-21 14:00:00,0.0,0.0,0.0,0.0,0.0,31.899375000270084,0.0,0.0,0.0,0.0,0.0
2040-04-21 15:00:00,0.0,0.0,0.0,0.0,0.0,31.121750000274282,0.0,0.0,0.0,0.0,0.0
2040-04-21 16:00:00,0.0,0.0,0.0,0.0,0.0,31.01587500027381,0.0,0.0,0.0,0.0,0.0
2040-04-21 17:00:00,0.0,0.0,0.0,0.0,0.0,30.88950000028126,0.0,0.0,0.0,0.0,0.0
2040-04-21 18:00:00,0.0,0.0,0.0,0.0,0.0,32.06800000020303,0.0,0.0,0.0,0.0,0.0
2040-04-21 19:00:00,0.0,0.0,0.0,0.0,0.0,35.991000000271015,0.0,0.0,0.0,0.0,0.0
2040-04-21 20:00:00,0.0,0.0,0.0,0.0,0.0,37.710375000257045,0.0,0.0,0.0,0.0,0.0
2040-04-21 21:00:00,0.0,0.0,0.0,0.0,0.0,38.125687500229105,0.0,0.0,0.0,0.0,0.0
2040-04-21 22:00:00,0.0,0.0,0.0,0.0,0.0,35.92887500021607,0.0,0.0,0.0,0.0,0.0
2040-04-21 23:00:00,0.0,0.0,0.0,0.0,0.0,32.41731250018347,0.0,0.0,0.0,0.0,0.0
2040-04-22 00:00:00,0.0,0.0,0.0,0.0,0.0,29.20125000027474,0.0,0.0,0.0,0.0,0.0
2040-04-22 01:00:00,0.0,0.0,0.0,0.0,0.0,25.947687500272878,0.0,0.0,0.0,0.0,0.0
2040-04-22 02:00:00,0.0,0.0,0.0,0.0,0.0,22.842437500250526,0.0,0.0,0.0,0.0,0.0
2040-04-22 03:00:00,0.0,0.0,0.0,0.0,0.0,21.767375000286847,0.0,0.0,0.0,0.0,0.0
2040-04-22 04:00:00,0.0,0.0,0.0,0.0,0.0,21.620875000255182,0.0,0.0,0.0,0.0,0.0
2040-04-22 05:00:00,0.0,0.0,0.0,0.0,0.0,21.580312500242144,0.0,0.0,0.0,0.0,0.0
2040-04-22 06:00:00,0.0,0.0,0.0,0.0,0.0,24.501562500256114,0.0,0.0,0.0,0.0,0.0
2040-04-22 07:00:00,0.0,0.0,0.0,0.0,0.0,29.74768750020303,0.0,0.0,0.0,0.0,0.0
2040-04-22 08:00:00,0.0,0.0,0.0,0.0,0.0,34.157812500256114,0.0,0.0,0.0,0.0,0.0
