asset_id,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,commissioning_year_assumption,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped,decommissioning_year,decommissioning_year_source
solar_bay_of_plenty_lodestone_te_herenga_o_te_ra_solar_farm,solar,bay_of_plenty,solar,1214307.826087,0.0,1.0,30.0,0.0,2025.0,,2025.0,fixed,assumed_from_status_under_construction,2025.0,True,Under construction,Lodestone Te Herenga o Te Rā solar farm,lodestone_te_herenga_o_te_ra_solar_farm,Solar,Solar,PELE,WAI,Bay of Plenty,23.558811,0.0,3600,18.44,54.869235,1,,
solar_bay_of_plenty_rangitaiki_solar_stage_1,solar,bay_of_plenty,solar,1073540.869565,0.0,1.0,150.0,0.0,2024.0,,2024.0,fixed,edgs_fixed_commissioning_year,,True,Fully consented,Rangitāiki solar (Stage 1),rangitaiki_solar_stage_1,Solar,Solar,PELE,RNG,Bay of Plenty,23.558811,0.0,3600,28.81,189.84113,1,,
solar_bay_of_plenty_rangitaiki_solar_stage_2,solar,bay_of_plenty,solar,1064320.869565,0.0,1.0,150.0,0.0,2026.0,,2026.0,fixed,edgs_fixed_commissioning_year,,True,Fully consented,Rangitāiki solar (Stage 2),rangitaiki_solar_stage_2,Solar,Solar,PELE,RNG,Bay of Plenty,23.558811,0.0,3600,0.0,159.64813,1,,
solar_bay_of_plenty_rangitaiki_solar_stage_3,solar,bay_of_plenty,solar,1115614.782609,0.0,1.0,100.0,0.0,2027.0,,2027.0,fixed,edgs_fixed_commissioning_year,,True,Fully consented,Rangitāiki solar (Stage 3),rangitaiki_solar_stage_3,Solar,Solar,PELE,RNG,Bay of Plenty,23.558811,0.0,3600,0.0,111.561478,1,,
solar_bay_of_plenty_waiotahe_solar_farm,solar,bay_of_plenty,solar,1077770.434783,0.0,1.0,81.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_fully_consented,2030.0,True,Fully consented,Waiotahe solar farm,waiotahe_solar_farm,Solar,Solar,PELE,WAI,Bay of Plenty,23.558811,0.0,3600,23.62,110.919405,1,,
bio_reciprocating_canterbury_generic_reciprocating_biogas_2_christchurch,bio_reciprocating,canterbury,bio_reciprocating,2518865.562924,16.012294,0.315789,10.0,0.0,2035.0,2035.0,,flexible,edgs_earliest_commissioning_year,,False,Generic,Generic Reciprocating Biogas: 2 (Christchurch),generic_reciprocating_biogas_2_christchurch,BioRecip,Reciprocating Biogas engine,PELE,ISL,Canterbury,21.173282,0.0,11400,0.661665,25.850321,1,,
hydro_run_of_river_canterbury_bush_stream_hydro_plant,hydro_run_of_river,canterbury,hydro_run_of_river,5906374.249,0.0,1.0,30.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Bush Stream hydro plant,bush_stream_hydro_plant,HydRR,"Hydro, run of river",PELE,HOR,Canterbury,76.566311,0.0,3600,9.527977,186.719204,1,,
hydro_run_of_river_canterbury_clarence_hydro_waiau_diversions,hydro_run_of_river,canterbury,hydro_run_of_river,5906374.249,0.0,1.0,70.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Clarence hydro: Waiau Diversions,clarence_hydro_waiau_diversions,HydRR,"Hydro, run of river",PELE,CUL,Canterbury,74.419592,0.0,3600,9.527977,422.974174,1,,
hydro_run_of_river_canterbury_potts_river_hydro,hydro_run_of_river,canterbury,hydro_run_of_river,5906374.249,0.0,1.0,35.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Potts River hydro,potts_river_hydro,HydRR,"Hydro, run of river",PELE,HOR,Canterbury,76.300527,0.0,3600,9.527977,216.251075,1,,
hydro_run_of_river_canterbury_rakaia_river_dam,hydro_run_of_river,canterbury,hydro_run_of_river,6259413.048806,0.0,1.0,3.0,0.0,2040.0,2040.0,,flexible,assumed_from_status_potential,2040.0,True,Potential,Rakaia River dam,rakaia_river_dam,HydRR,"Hydro, run of river",PELE,ASB,Canterbury,153.132623,0.0,3600,8.479899,27.258138,1,,
