hydrology_year,hour_of_year,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_scheme_embedded,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_schemes,hydro_storage_canterbury_christchurch_hydro_scheme_embedded,hydro_storage_canterbury_coleridge,hydro_storage_canterbury_waitaki_hydro_scheme,hydro_storage_waikato_bunnythorpe_hydro_scheme,hydro_storage_manawatu_whanganui_mangahao,hydro_storage_taranaki_patea,hydro_storage_hawkes_bay_waikaremoana_hydro_scheme,hydro_storage_nelson_cobb,hydro_storage_otago_clyde_and_roxburgh_hydro_scheme,hydro_storage_otago_waipori_power_scheme,hydro_storage_southland_manapouri,hydro_storage_waikato_waikato_river_hydro_scheme,ror_canterbury,ror_marlborough,ror_otago,ror_west_coast
2012,5586,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5587,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5588,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5589,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5590,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5591,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5592,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5593,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5594,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5595,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5596,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5597,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5598,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5599,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5600,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5601,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5602,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5603,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5604,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5605,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5606,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5607,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5608,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5609,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5610,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5611,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5612,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5613,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5614,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5615,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5616,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5617,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5618,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5619,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5620,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5621,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5622,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5623,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5624,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
