snapshot,wind_existing_cabo_negro,wind_flexible_cabo_negro,solar_utility_flexible_cabo_negro,pv_residential_flexible_punta_arenas_centro
2030-04-01 04:00:00,0.35036861522264207,0.35036861522264207,0.0,0.0
2030-04-01 05:00:00,0.37778465817263834,0.37778465817263834,0.0,0.0
2030-04-01 06:00:00,0.40814688177469943,0.40814688177469943,0.0,0.0
2030-04-01 07:00:00,0.41854834545424213,0.41854834545424213,0.0,0.0
2030-04-01 08:00:00,0.4556973894764746,0.4556973894764746,0.0,0.0
2030-04-01 09:00:00,0.5140327441094019,0.5140327441094019,0.0,0.0
2030-04-01 10:00:00,0.29511085207442656,0.29511085207442656,0.0,0.0
2030-04-01 11:00:00,0.4102186089220083,0.4102186089220083,0.0,0.0
2030-04-01 12:00:00,0.4773003052391633,0.4773003052391633,0.00788234325753014,0.019623809966690903
2030-04-01 13:00:00,0.4477068578410155,0.4477068578410155,0.06331087028649558,0.12458717636445807
2030-04-01 14:00:00,0.43278277821829525,0.43278277821829525,0.10785740924065661,0.18621523876243515
2030-04-01 15:00:00,0.46039857800425743,0.46039857800425743,0.1949800996979304,0.31830638281245954
2030-04-01 16:00:00,0.5878469423126742,0.5878469423126742,0.498591076494633,0.6191178023794489
2030-04-01 17:00:00,0.849340975539169,0.849340975539169,0.5658378300306316,0.43695497937876565
2030-04-01 18:00:00,0.8116397839168558,0.8116397839168558,0.48042035387849485,0.3788440477971779
2030-04-01 19:00:00,0.6270209663929183,0.6270209663929183,0.2105203366842404,0.23695901593048266
2030-04-01 20:00:00,0.8753215159946875,0.8753215159946875,0.08371212876707423,0.07500175349536622
2030-04-01 21:00:00,0.930557726208269,0.930557726208269,0.031208110074044573,0.02394739692854037
2030-04-01 22:00:00,0.7464751123576835,0.7464751123576835,0.005738253976787034,0.007317522202959907
2030-04-01 23:00:00,0.8602870259019646,0.8602870259019646,0.0,0.0
2030-04-02 00:00:00,0.9719289946431902,0.9719289946431902,0.0,0.0
2030-04-02 01:00:00,0.9889757397051485,0.9889757397051485,0.0,0.0
2030-04-02 02:00:00,0.9799136712029544,0.9799136712029544,0.0,0.0
2030-04-02 03:00:00,0.9694593910308907,0.9694593910308907,0.0,0.0
2030-04-02 04:00:00,0.9307743994776948,0.9307743994776948,0.0,0.0
2030-04-02 05:00:00,0.9085111381877269,0.9085111381877269,0.0,0.0
2030-04-02 06:00:00,0.9516362965177884,0.9516362965177884,0.0,0.0
2030-04-02 07:00:00,0.9459630158500004,0.9459630158500004,0.0,0.0
2030-04-02 08:00:00,0.96882252352991,0.96882252352991,0.0,0.0
2030-04-02 09:00:00,0.9624488199341824,0.9624488199341824,0.0,0.0
2030-04-02 10:00:00,0.9340018794402731,0.9340018794402731,0.0,0.0
2030-04-02 11:00:00,0.9759063814556497,0.9759063814556497,0.0,0.0
2030-04-02 12:00:00,0.9934992227030458,0.9934992227030458,0.0,0.0
2030-04-02 13:00:00,0.9981725776565537,0.9981725776565537,0.01773630732351688,0.010080463043572366
2030-04-02 14:00:00,0.9978034788273281,0.9978034788273281,0.04360033693164857,0.037760392294201355
2030-04-02 15:00:00,0.9906955495601217,0.9906955495601217,0.13657840445691488,0.13133740971981894
2030-04-02 16:00:00,0.9879785058323832,0.9879785058323832,0.20269871576904364,0.15675191727002588
2030-04-02 17:00:00,0.9934827505876119,0.9934827505876119,0.21513049468640758,0.19529544144243252
2030-04-02 18:00:00,0.9870861211571754,0.9870861211571754,0.14771049292167793,0.1414700372585522
2030-04-02 19:00:00,0.9909197043664697,0.9909197043664697,0.03506016736439794,0.045946179668512804
2030-04-02 20:00:00,0.9896751186503799,0.9896751186503799,0.020841422543897325,0.039393382916067005
2030-04-02 21:00:00,0.991415177636846,0.991415177636846,0.07337231020051604,0.0810977842510759
2030-04-02 22:00:00,0.8291465194024765,0.8291465194024765,0.05369950337159375,0.0471745393490751
2030-04-02 23:00:00,0.8838136181297576,0.8838136181297576,0.0,0.0
2030-04-03 00:00:00,0.8284952248064124,0.8284952248064124,0.0,0.0
2030-04-03 01:00:00,0.793760231020497,0.793760231020497,0.0,0.0
2030-04-03 02:00:00,0.7628392395658866,0.7628392395658866,0.0,0.0
2030-04-03 03:00:00,0.7821848935552462,0.7821848935552462,0.0,0.0
