snapshot,slack_punta_arenas_centro,slack_cabo_negro,wind_existing_cabo_negro,wind_flexible_cabo_negro,solar_utility_flexible_cabo_negro,pv_residential_flexible_punta_arenas_centro,ocgt_existing_punta_arenas_centro
2030-12-07 07:00:00,0.0,0.0,1.6878518301979382,31.449420434891596,0.0,0.0,0.0
2030-12-07 08:00:00,0.0,0.0,1.485707976789609,38.038819306681155,0.0,0.0,0.0
2030-12-07 09:00:00,0.0,0.0,1.3963848891160402,36.427391352178,0.0,0.0,0.0
2030-12-07 10:00:00,0.0,0.0,0.6101777798171679,15.917663498832079,0.0,0.0,10.127753584605859
2030-12-07 11:00:00,0.0,0.0,0.7620124626627549,19.878563860874312,0.0,0.0,8.280041377615792
2030-12-07 12:00:00,0.0,0.0,1.2397585218036604,32.34149066488983,0.0,0.0,0.0
2030-12-07 13:00:00,0.0,0.0,1.6461440895351693,42.942841503771994,0.0,0.0,0.0
2030-12-07 14:00:00,0.0,0.0,1.4955106738708726,39.01327851158564,0.0,0.0,0.0
2030-12-07 15:00:00,0.0,0.0,1.1759766297199974,30.677617070851745,0.0,0.0,0.0
2030-12-07 16:00:00,0.0,0.0,0.7223628559750667,18.844227446157976,0.0,0.0,7.834585781841735
2030-12-07 17:00:00,0.0,0.0,0.7795108827104394,20.335043875868823,0.0,0.0,5.40119338452444
2030-12-07 18:00:00,0.0,0.0,0.5905441405624886,15.405482175206874,0.0,0.0,9.994764255728146
2030-12-07 19:00:00,0.0,0.0,0.39392805837404177,10.27637269555297,0.0,0.0,15.57199843096739
2030-12-07 20:00:00,0.0,0.0,0.2499600044918363,6.5206885128786505,0.0,0.0,20.31507065904782
2030-12-07 21:00:00,0.0,0.0,0.1944052836819622,5.071436539317585,0.0,0.0,21.574485424531346
2030-12-07 22:00:00,0.0,0.0,0.219564729714469,5.727769183686359,0.0,0.0,27.419609029434536
2030-12-07 23:00:00,0.0,0.0,0.10651700808007654,2.7787014663645597,0.0,0.0,31.45420094504426
2030-12-08 00:00:00,0.0,0.0,0.002747350239898773,0.07166992650117121,0.0,0.0,31.51538051929375
2030-12-08 01:00:00,0.0,0.0,0.006467499999476183,0.16871720353567357,0.0,0.0,28.380681711285554
2030-12-08 02:00:00,0.0,0.0,0.05300232789570051,1.3826678846799654,0.0,0.0,24.636657860175845
2030-12-08 03:00:00,0.0,0.0,0.05480491582989396,1.4296918654157826,0.0,0.0,23.150190279879236
2030-12-08 04:00:00,0.0,0.0,0.07948301937705948,2.073467763271024,0.0,0.0,20.58973757275488
2030-12-08 05:00:00,0.0,0.0,0.1751036164017047,4.567915344518233,0.0,0.0,15.93467146079846
2030-12-08 06:00:00,0.0,0.0,0.2794415459143211,7.28977134629583,0.0,0.0,12.485163532384052
2030-12-08 07:00:00,0.0,0.0,0.37905671629675536,9.888425073085964,0.0,0.0,10.081825691404939
2030-12-08 08:00:00,0.0,0.0,0.4229485858780111,11.033429092305404,0.0,0.0,10.063847879380251
2030-12-08 09:00:00,0.0,0.0,0.55310179662444,14.428726463794415,0.0,0.0,9.182795140039524
2030-12-08 10:00:00,0.0,0.0,0.33462898878198266,8.72944216680928,0.0,0.0,17.752060311520562
2030-12-08 11:00:00,0.0,0.0,0.1474675305648182,3.8469747771507854,0.0,0.0,25.635346442688714
2030-12-08 12:00:00,0.0,0.0,0.050607779161028515,1.3202014654644316,0.0,0.0,29.678246817517053
2030-12-08 13:00:00,0.0,0.0,0.06236156923449225,1.6268217348576706,0.0,0.0,30.51724468173968
2030-12-08 14:00:00,0.0,0.0,0.09171645784533562,2.392600585561005,0.0,0.0,30.187650604461787
2030-12-08 15:00:00,0.0,0.0,0.04496532483302452,1.1730071685373815,0.0,0.0,32.00555058599701
2030-12-08 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,32.5190497335
2030-12-08 17:00:00,0.0,0.0,0.0003418265499200397,0.008917204422331257,0.0,0.0,32.4533917318972
2030-12-08 18:00:00,0.0,0.0,0.1671576142154403,4.360628561640233,0.0,0.0,28.377989009411444
2030-12-08 19:00:00,0.0,0.0,0.3213438619649499,8.382874026821947,0.0,0.0,25.419805178488843
2030-12-08 20:00:00,0.0,0.0,0.5901980647505768,15.396454120595074,0.0,0.0,19.08403033336127
