generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,source_tech_count,scenario
hydro_flexible,taranaki,hydro_flexible,,0.000000,1.000000,33.000000,0.000000,,,,flexible,1,Environmental
solar_flexible,taranaki,solar_flexible,1134567.835069,0.000000,1.000000,841.000000,0.000000,2025,2025,,flexible,1,Environmental
wind_flexible,taranaki,wind_flexible,2168358.110694,0.000000,1.000000,733.000000,0.000000,,,,flexible,1,Environmental
coal_flexible,waikato,coal_flexible,,23.293774,0.330275,400.000000,0.000000,,,,flexible,1,Environmental
gas_flexible,waikato,gas_flexible,1411927.173267,27.566561,0.369422,1213.800000,0.000000,2025,2025,,flexible,3,Environmental
geo_fixed,waikato,geo_fixed,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,1,Environmental
geo_flexible,waikato,geo_flexible,6042694.636404,0.000000,0.300000,1421.400000,0.000000,2026,2026,,flexible,1,Environmental
hydro_flexible,waikato,hydro_flexible,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,1,Environmental
solar_flexible,waikato,solar_flexible,1176342.254018,0.000000,1.000000,2357.000000,0.000000,2020,2020,,flexible,1,Environmental
thermal_other_flexible,waikato,thermal_other_flexible,,27.139750,0.300000,39.600000,0.000000,,,,flexible,1,Environmental
wind_fixed,waikato,wind_fixed,2229027.537854,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,1,Environmental
wind_flexible,waikato,wind_flexible,2194022.881444,0.000000,1.000000,1769.400000,0.000000,2025,2025,,flexible,1,Environmental
wood_fixed,waikato,wood_fixed,,23.293774,0.330275,480.000000,0.000000,2032,,2032,fixed,1,Environmental
solar_flexible,wellington,solar_flexible,1141887.233188,0.000000,1.000000,1163.000000,0.000000,2025,2025,,flexible,1,Environmental
wind_flexible,wellington,wind_flexible,2164941.975635,0.000000,1.000000,867.600000,0.000000,,,,flexible,1,Environmental
hydro_flexible,west_coast,hydro_flexible,5617080.119964,0.000000,1.000000,190.000000,0.000000,,,,flexible,2,Environmental
solar_flexible,west_coast,solar_flexible,1363712.196522,0.000000,1.000000,40.000000,0.000000,2030,2030,,flexible,1,Environmental
wind_flexible,west_coast,wind_flexible,2143064.075623,0.000000,1.000000,75.000000,0.000000,,,,flexible,1,Environmental
gas_flexible,auckland,gas_flexible,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,1,Growth
solar_flexible,auckland,solar_flexible,1276287.926877,0.000000,1.000000,294.000000,0.000000,2025,2025,,flexible,1,Growth
thermal_other_flexible,auckland,thermal_other_flexible,,11.308229,1.000000,0.000000,0.000000,,,,flexible,1,Growth
wind_flexible,auckland,wind_flexible,2722986.896917,0.000000,1.000000,335.000000,0.000000,2027,2027,,flexible,1,Growth
geo_flexible,bay_of_plenty,geo_flexible,6941435.879078,0.000000,0.300000,283.500000,0.000000,2030,2030,,flexible,1,Growth
hydro_flexible,bay_of_plenty,hydro_flexible,,0.000000,1.000000,172.900000,0.000000,,,,flexible,1,Growth
solar_fixed,bay_of_plenty,solar_fixed,1080601.847826,0.000000,1.000000,432.000000,0.000000,2024,,2024,fixed,1,Growth
solar_flexible,bay_of_plenty,solar_flexible,1156256.543308,0.000000,1.000000,444.000000,0.000000,2025,2025,,flexible,1,Growth
hydro_flexible,canterbury,hydro_flexible,5535734.976596,0.000000,1.000000,1982.300000,0.000000,,,,flexible,3,Growth
solar_fixed,canterbury,solar_fixed,1530920.869565,0.000000,1.000000,63.000000,0.000000,2024,,2024,fixed,1,Growth
solar_flexible,canterbury,solar_flexible,1033238.648396,0.000000,1.000000,1826.000000,0.000000,2020,2020,,flexible,1,Growth
thermal_other_flexible,canterbury,thermal_other_flexible,2518865.562924,16.012294,0.315789,10.000000,0.000000,2035,2035,,flexible,1,Growth
wind_flexible,canterbury,wind_flexible,2226693.972238,0.000000,1.000000,270.600000,0.000000,2025,2025,,flexible,1,Growth
diesel_flexible,hawkes_bay,diesel_flexible,,48.130651,0.327273,155.000000,0.000000,,,,flexible,1,Growth
