scenario,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,tech,tech_name,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped
Constraint,gaspkr,waikato,gaspkr,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Waikato,5.418526,2.650366,11750.000000,39.578802,403.479281,3
Constraint,geo,waikato,geo,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,Geo,Geothermal,Waikato,230.789404,0.000000,12000.000000,42.664431,1153.376064,2
Constraint,geo,waikato,geo,5840454.597624,0.000000,0.300000,1215.400000,0.000000,2026,2026,,flexible,Geo,Geothermal,Waikato,217.442776,0.000000,12000.000000,123.868031,2565.178053,17
Constraint,hydsc,waikato,hydsc,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Waikato,67.460618,0.000000,3600.000000,,,2
Constraint,ocgt,waikato,ocgt,1528758.952784,26.793863,0.314088,510.800000,0.000000,,,,flexible,OCGT,Open cycle gas turbine,Waikato,22.187160,1.219671,11461.765857,5.889703,556.242926,4
Constraint,othcog,waikato,othcog,,27.139750,0.300000,39.600000,0.000000,,,,flexible,OthCog,"Cogeneration, other",Waikato,82.455838,1.319293,12000.000000,,,1
Constraint,solar,waikato,solar,1217704.280240,0.000000,1.000000,1357.000000,0.000000,2025,2025,,flexible,Solar,Solar,Waikato,23.558811,0.000000,3600.000000,317.652486,1970.077195,9
Constraint,wind,waikato,wind,2407900.118053,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,Wind,Wind,Waikato,48.531150,0.000000,3600.000000,18.411211,259.201222,1
Constraint,wind,waikato,wind,2343734.134948,0.000000,1.000000,1119.400000,0.000000,2025,2025,,flexible,Wind,Wind,Waikato,48.523700,0.000000,3600.000000,318.456226,2791.095738,8
Constraint,solar,wellington,solar,1217401.301575,0.000000,1.000000,763.000000,0.000000,2050,2050,,flexible,Solar,Solar,Wellington,23.558811,0.000000,3600.000000,171.425446,1100.302639,6
Constraint,wind,wellington,wind,1979751.978563,0.000000,1.000000,502.600000,0.000000,,,,flexible,Wind,Wind,Wellington,48.643835,0.000000,3600.000000,66.691404,660.616998,3
Constraint,hydpk,west_coast,hydpk,5258472.733140,0.000000,1.000000,46.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",West Coast,75.707624,0.000000,3600.000000,7.939981,249.829726,1
Constraint,hydrr,west_coast,hydrr,6023853.783479,0.000000,1.000000,144.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",West Coast,88.807011,0.000000,3600.000000,36.523911,903.958856,4
Constraint,wind,west_coast,wind,2315038.353296,0.000000,1.000000,75.000000,0.000000,,,,flexible,Wind,Wind,West Coast,47.541680,0.000000,3600.000000,27.610926,201.238803,1
Environmental,gaspkr,auckland,gaspkr,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Auckland,5.418526,2.650366,11750.000000,39.578802,403.479281,3
Environmental,othcog,auckland,othcog,,11.308229,1.000000,0.000000,0.000000,,,,flexible,OthCog,"Cogeneration, other",Auckland,96.591125,0.000000,1000.000000,,,1
Environmental,solar,auckland,solar,1255336.365541,0.000000,1.000000,1774.000000,0.000000,2025,2025,,flexible,Solar,Solar,Auckland,23.558811,0.000000,3600.000000,501.105891,2728.072603,12
