Scenario,Region,Tech,TechName,Capacity (MW),Heat Rate (GJ/GWh),Variable operating costs (NZD/MWh),Fixed operating costs (NZD/kW/year),Fuel delivery costs (NZD/GJ),Capital cost (NZD/kW),Connection cost (NZD $m),Total Capital costs (NZD $m),Earliest Commissioning Year,Fixed Commissioning Year,Plants grouped
Environmental,Northland,Solar,Solar,24.000000,3600.000000,0.000000,20.444943,0.000000,1249.208261,24.200000,54.180998,,2024,1
Environmental,Northland,Solar,Solar,585.700000,3600.000000,0.000000,23.558811,0.000000,1117.299167,206.946336,825.594885,2024,,9
Environmental,Northland,Wind,Wind,1323.000000,3600.000000,0.000000,50.101034,0.000000,2153.767133,582.032202,3431.466119,2024,,10
Environmental,Otago,BioRecip,Reciprocating Biogas engine,10.000000,11400.000000,16.012294,21.173282,0.000000,2485.689015,0.661665,25.518555,2030,,1
Environmental,Otago,HydPK,"Hydro, peaking",17.000000,3600.000000,0.000000,153.132623,0.000000,2957.201678,17.203291,67.475720,,,1
Environmental,Otago,HydRR,"Hydro, run of river",725.000000,3600.000000,0.000000,64.790447,0.000000,5878.250004,75.297483,4337.028736,,,4
Environmental,Otago,HydSC,"Hydro, schedulable",839.000000,3600.000000,0.000000,61.884357,0.000000,,,,,,2
Environmental,Otago,Solar,Solar,1919.000000,3600.000000,0.000000,23.072015,0.000000,1145.798494,423.451174,2622.238484,2020,,12
Environmental,Otago,Wind,Wind,924.000000,3600.000000,0.000000,48.084910,0.000000,2423.315198,175.731590,2327.635486,2028,,5
Environmental,Southland,HydSC,"Hydro, schedulable",800.000000,3600.000000,0.000000,35.339084,0.000000,,,,,,1
Environmental,Southland,Solar,Solar,500.000000,3600.000000,0.000000,23.558811,0.000000,1218.174992,121.510000,730.597496,2025,,4
Environmental,Southland,Wind,Wind,991.000000,3600.000000,0.000000,49.539448,0.000000,2337.743252,211.145825,2291.737319,2026,,9
Environmental,Taranaki,CCGT,Combined cycle gas turbine,380.000000,7700.000000,6.125291,48.295562,0.518294,,,,,,1
Environmental,Taranaki,GasCog,"Cogeneration, gas-fired",95.000000,9300.000000,5.773787,46.837345,1.322268,,,,,,2
Environmental,Taranaki,GasPkr,"Peaker, gas-fired OCGT",510.000000,10089.156863,11.534579,19.054921,1.250465,1213.001597,13.192934,134.493094,2025,,4
Environmental,Taranaki,HydSC,"Hydro, schedulable",33.000000,3600.000000,0.000000,76.402752,0.000000,,,,,,1
Environmental,Taranaki,OCGT,Open cycle gas turbine,9.600000,11600.000000,16.726756,11.779405,0.000000,,,,,,1
Environmental,Taranaki,Solar,Solar,841.000000,3600.000000,0.000000,23.321846,0.000000,1134.567835,261.976347,1216.147896,2025,,9
Environmental,Taranaki,Wind,Wind,733.000000,3600.000000,0.000000,48.575183,0.000000,2168.358111,132.883473,1433.898339,,,4
Environmental,Waikato,CCGT,Combined cycle gas turbine,403.000000,7400.000000,6.125291,48.295562,1.319293,,,,,,1
Environmental,Waikato,Coal,Coal,400.000000,10900.000000,13.664110,96.591125,0.883455,,,,,,2
Environmental,Waikato,GasPkr,"Peaker, gas-fired OCGT",300.000000,11750.000000,13.428522,5.418526,2.650366,1213.001597,39.578802,403.479281,2025,,3
Environmental,Waikato,Geo,Geothermal,203.400000,12000.000000,0.000000,230.789404,0.000000,5460.725829,42.664431,1153.376064,,2024,2
Environmental,Waikato,Geo,Geothermal,1421.400000,12000.000000,0.000000,218.365374,0.000000,6042.694636,252.263550,4022.905003,2026,,23
Environmental,Waikato,HydSC,"Hydro, schedulable",1455.500000,3600.000000,0.000000,67.460618,0.000000,,,,,,2
Environmental,Waikato,OCGT,Open cycle gas turbine,510.800000,11461.765857,12.814277,22.187160,1.219671,1528.758953,5.889703,556.242926,,,4
Environmental,Waikato,OthCog,"Cogeneration, other",39.600000,12000.000000,11.308229,82.455838,1.319293,,,,,,1
Environmental,Waikato,Solar,Solar,2357.000000,3600.000000,0.000000,23.558811,0.000000,1176.342254,540.192486,3312.831179,2020,,16
Environmental,Waikato,Wind,Wind,100.000000,3600.000000,0.000000,48.531150,0.000000,2229.027538,18.411211,241.313964,,2025,1
Environmental,Waikato,Wind,Wind,1769.400000,3600.000000,0.000000,48.193739,0.000000,2194.022881,474.545127,4215.354140,2025,,13
Environmental,Waikato,Wood,Wood - Torrefied for use in coal generators,480.000000,10900.000000,13.664110,96.591125,0.883455,,,,,2032,2
Environmental,Wellington,Solar,Solar,1163.000000,3600.000000,0.000000,23.558811,0.000000,1141.887233,332.415446,1660.430298,2025,,8
Environmental,Wellington,Wind,Wind,867.600000,3600.000000,0.000000,49.559309,0.000000,2164.941976,199.009465,1638.695879,,,7
Environmental,West Coast,HydPK,"Hydro, peaking",46.000000,3600.000000,0.000000,75.707624,0.000000,5258.472733,7.939981,249.829726,,,1
Environmental,West Coast,HydRR,"Hydro, run of river",144.000000,3600.000000,0.000000,88.807011,0.000000,5731.635257,36.523911,861.879388,,,4
Environmental,West Coast,Solar,Solar,40.000000,3600.000000,0.000000,23.558811,0.000000,1363.712197,23.770000,78.318488,2030,,1
Environmental,West Coast,Wind,Wind,75.000000,3600.000000,0.000000,47.541680,0.000000,2143.064076,27.610926,188.340732,,,1
Growth,Auckland,GasPkr,"Peaker, gas-fired OCGT",300.000000,11750.000000,13.428522,5.418526,2.650366,1213.001597,39.578802,403.479281,2025,,3
Growth,Auckland,OthCog,"Cogeneration, other",0.000000,1000.000000,11.308229,96.591125,0.000000,,,,,,1
Growth,Auckland,Solar,Solar,294.000000,3600.000000,0.000000,23.558811,0.000000,1276.287927,140.455891,515.684541,2025,,4
Growth,Auckland,Wind,Wind,335.000000,3600.000000,0.000000,50.173235,0.000000,2722.986897,120.485609,1032.686219,2027,,3
Growth,Bay of Plenty,Geo,Geothermal,283.500000,12000.000000,0.000000,223.808703,0.000000,6941.435879,70.676433,1000.828840,2030,,7
Growth,Bay of Plenty,HydSC,"Hydro, schedulable",172.900000,3600.000000,0.000000,116.463264,0.000000,,,,,,2
Growth,Bay of Plenty,Solar,Solar,432.000000,3600.000000,0.000000,23.558811,0.000000,1080.601848,28.810000,461.050739,,2024,4
Growth,Bay of Plenty,Solar,Solar,444.000000,3600.000000,0.000000,23.558811,0.000000,1156.256543,155.136179,668.514084,2025,,5
