timestamp,zone,scenario,year,component,demand_type,demand_mw
2025-01-06 18:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1893608
2025-01-06 19:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19791083
2025-01-06 20:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1986423
2025-01-06 21:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20919213
2025-01-06 22:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21480853
2025-01-06 23:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21371738
2025-01-07 00:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21202968
2025-01-07 01:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21866553
2025-01-07 02:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21859213
2025-01-07 03:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.22239826
2025-01-07 04:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.2106982
2025-01-07 05:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21431583
2025-01-07 06:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1921598
2025-01-07 07:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19451531
2025-01-07 08:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18775145
2025-01-07 09:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18252051
2025-01-07 10:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17714715
2025-01-07 11:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17512583
2025-01-07 12:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17858702
2025-01-07 13:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17161215
2025-01-07 14:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17702011
2025-01-07 15:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17493552
